judul,tahun_terbit,kategori,penulis,total_peminjam
Pengantar Akuntansi 1 Berbasis IFRS Edisi 2,2018,Akuntansi," Donald E., Kieso, Paul D. Kimmel, WEYGANDT,Jerry J.,WEYGANDT",147
Akuntansi Perpajakan Berbasis ETAP Edisi 3,2014,Akuntansi," Estralita Trisnawati, Sukrisno Agoes,Sukrisno Agoes",110
Pengantar Akuntansi Adaptasi Indonesia Edisi 25,2015,Akuntansi," Carl S. Warren, James M. Reeve, Jonathan E. Duchac,Carl S. Warren",93
Financial Accounting IFRS Ed. 1Ed.,2011,Akuntansi," KIMMEL, WEYGANDT,Jerry J.,Paul D.,WEYGANDT",56
Pengantar Akuntansi 1  Edisi 4 Adaptasi Indonesia Berdasarkan PSAK terbaru,2017,Akuntansi," Amir Abadi, Carl S., JUSUF, Jonathan E. Duchac, WAHYUNI, WARREN, james M.,Ersa Tri,WARREN",45
Sistem Akuntansi Edisi 4,2016,Akuntansi," MULYADI,MULYADI",32
Akutansi Keuangan Berdasarkan SAK Buku 1,2012,Akuntansi," KARTIKAHADI, SINAGA,Hans,KARTIKAHADI,Rosita Uli",28
Perpajakan Buku 1 Ed.8,2014,Akuntansi," RESMI,RESMI,Siti",28
Pengantar Akuntansi 2 Berbasis IFRS Edisi 2 (Financial Accounting IFRS 2 2nd Edition),2018,Akuntansi," Donal E, Jerry J, Kieso, Kimmel, Paul D., Weygandt,Kieso",27
Pengantar Akuntansi 1 Edisi 2,2016,Akuntansi," Agus Purwaji, H. Murtanto, WIBOWO,WIBOWO",24